date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema
2024-01-02,6846,25000,1972100,78.8,79.0,78.6,78.9,-0.1,15,78.55981561151923,78.16018869200109,77.07052362019947,77.14230600187025
2024-01-03,6846,22000,1718200,78.5,78.5,77.6,77.8,-1.1,17,78.30654374101282,78.09469983890997,77.13395634887777,77.16193865853084
2024-01-04,6846,16000,1244100,77.9,77.9,77.5,77.9,0.1,16,78.17102916067522,78.05929986819908,77.2005688402797,77.18397034036575
2024-01-05,6846,9000,696800,77.2,77.5,77.2,77.5,-0.4,7,77.94735277378348,77.95760898307198,77.2266063324293,77.19340406154886
2024-01-08,6846,30000,2334500,77.7,78.5,77.0,78.1,0.6,28,77.99823518252232,77.98349825887708,77.30255360787022,77.22046662687576
2024-01-09,6846,11000,859900,78.5,78.5,78.0,78.0,-0.1,10,77.99882345501489,77.98649857544488,77.36320112022933,77.24373627980485
2024-01-10,6846,11000,850800,78.0,78.0,77.1,77.1,-0.9,10,77.69921563667658,77.82531701627309,77.34031406629634,77.2394456445868
2024-01-11,6846,27000,2081100,77.1,77.5,77.0,77.0,-0.1,18,77.4661437577844,77.6752593769507,77.31072153879231,77.2322980134051
2024-01-12,6846,18000,1377400,76.7,76.7,76.2,76.2,-0.8,15,77.04409583852294,77.4070303993233,77.2141370571582,77.2014831473333
2024-01-15,6846,13000,991100,76.1,76.9,76.0,76.6,0.4,11,76.89606389234862,77.26029759944633,77.16073383479662,77.18352842651738
2024-01-16,6846,6000,454200,75.5,75.8,75.5,75.8,-0.8,5,76.53070926156575,76.99478894500155,77.04240915350995,77.14222907050194
2024-01-17,6846,5000,380500,75.8,76.3,75.8,76.3,0.5,4,76.45380617437716,76.868463682274,76.97785183581344,77.1170879042183
2024-01-18,6846,5000,381400,76.7,76.7,76.0,76.0,-0.3,5,76.30253744958478,76.71056119458781,76.89282124139488,77.08374199662968
2024-01-19,6846,3000,231600,76.6,77.5,76.6,77.5,1.5,3,76.70169163305651,76.85409552284457,76.94561939431706,77.09616760867058
