date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,5ema,10ema,22ema,66ema
2023-10-12,6708,22000,1023800,46.4,46.9,46.3,46.9,0.6,19,46.774406460857705,46.76734241210926,46.40230392331257,46.70130908904505
2023-10-13,6708,4000,186750,46.9,46.9,46.45,46.45,-0.45,4,46.666270973905135,46.70964379172576,46.406451408241914,46.69380732519296
2023-10-16,6708,19000,870800,46.45,46.45,45.65,45.65,-0.8,14,46.32751398260342,46.516981284139256,46.340673024916526,46.66264889757526
2023-10-17,6708,15000,688050,45.7,46.0,45.7,45.95,0.3,12,46.20167598840228,46.41389377793212,46.30670145753248,46.6413757961551
2023-10-18,6708,17000,774350,45.95,45.95,45.15,45.5,-0.45,15,45.96778399226819,46.24773127285355,46.23655350470357,46.60730487686689
2023-10-19,6708,7000,323400,45.5,47.05,45.5,45.85,0.35,7,45.928522661512126,46.175416495971085,46.20294015646848,46.58469876113952
2023-10-20,6708,18000,835500,45.85,46.8,45.75,46.8,0.95,17,46.21901510767475,46.28897713306725,46.25485840373209,46.59112566379207
2023-10-23,6708,165000,8269850,46.8,51.4,46.5,50.8,4.0,139,47.74601007178317,47.109163108873204,46.65008810775538,46.71676370367887
2023-10-24,6708,112000,5541050,50.5,50.5,48.05,49.5,-1.3,97,48.33067338118878,47.54386072544171,46.897906533167955,46.79984538416607
2023-10-25,6708,51000,2506450,49.0,49.8,48.5,49.3,-0.2,44,48.65378225412585,47.8631587753614,47.10678422593596,46.874476865235735
2023-10-26,6708,27000,1319500,48.7,49.0,48.7,48.75,-0.55,24,48.6858548360839,48.0244026343866,47.24967255411544,46.93046263045258
2023-10-27,6708,19000,922950,48.75,48.8,48.15,48.15,-0.6,16,48.50723655738926,48.04723851904358,47.32796189723584,46.966866731036085
2023-10-30,6708,18000,873000,48.35,49.4,48.15,48.15,0.0,18,48.38815770492617,48.065922424672024,47.39944347138924,47.002184142049934
2023-10-31,6708,9000,429550,48.15,48.15,47.0,47.0,-1.15,7,47.925438469950784,47.87211834745893,47.36470925648583,47.002118943779784
2023-11-01,6708,4000,186750,46.2,47.15,46.2,46.45,-0.55,4,47.43362564663386,47.61355137519367,47.285169321139236,46.985637781278896
